Team,MP,W,D,L,G,xG,npxG,xG +/-,GA,xGA,npxGA,xGA +/-,PTS,xPTS,xPTS +/-
Liverpool,29,21,7,1,69,72.9,66.1,3.9,27,28.2,27.3,1.2,70,66.6,-3.4
Arsenal,29,16,10,3,53,56.7,55.2,3.7,24,27.1,25.5,3.1,58,58.4,0.4
Nottingham Forest,29,16,6,7,49,43.699999999999996,41.3,-5.3,35,40.6,39.1,5.6,54,41.7,-12.3
Chelsea,29,14,7,8,53,59.0,55.9,6.0,37,43.9,39.4,6.9,49,48.6,-0.4
Manchester City,29,14,6,9,55,56.300000000000004,54.1,1.3,40,43.7,41.5,3.7,48,47.4,-0.6
Brighton,29,12,11,6,48,49.8,47.5,1.8,42,44.0,38.6,2.0,47,44.5,-2.5
Newcastle United,28,14,5,9,47,48.6,45.5,1.6,38,42.1,42.1,4.1,47,42.6,-4.4
Fulham,29,12,9,8,43,45.9,42.9,2.9,38,34.3,32.9,-3.7,45,47.5,2.5
Aston Villa,29,12,9,8,41,50.2,48.0,9.2,45,44.8,43.3,-0.2,45,44.3,-0.7
Bournemouth,29,12,8,9,48,59.1,53.9,11.1,36,43.5,40.5,7.5,44,51.2,7.2
Brentford,29,12,5,12,50,49.9,47.0,-0.1,45,49.800000000000004,49.1,4.8,41,38.2,-2.8
Crystal Palace,28,10,9,9,36,50.4,48.9,14.4,33,42.7,41.3,9.7,39,43.9,4.9
Manchester United,29,10,7,12,37,43.2,41.0,6.2,40,48.7,45.5,8.7,37,38.2,1.2
Tottenham,29,10,4,15,55,52.9,51.3,-2.1,43,51.1,49.6,8.1,34,39.9,5.9
Everton,29,7,13,9,32,36.1,35.3,4.1,36,43.0,41.5,7.0,34,35.0,1.0
West Ham,29,9,7,13,33,38.9,36.6,5.9,49,55.3,53.1,6.3,34,30.5,-3.5
Wolverhampton Wanderers,29,7,5,17,40,32.4,32.4,-7.6,58,49.1,43.8,-8.9,26,29.8,3.8
Ipswich,29,3,8,18,28,32.0,30.5,4.0,62,65.4,61.4,3.4,17,21.4,4.4
Leicester,29,4,5,20,25,30.3,28.8,5.3,65,63.1,61.5,-1.9,17,21.4,4.4
Southampton,29,2,3,24,21,32.6,30.8,11.6,70,80.5,76.0,10.5,9,18.0,9.0
